Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
(all) on your own,,,,,Rec
(at) any minute; any minute now,,,,,Prod
(be) in your twenties / 20s/thirties/30s etc,,,,,Rec
(every) once in a while,,,,,Prod
a little sth,,,,,Rec
above,adj,,,,Prod
absorb,v,,,soak up,Rec
access,"n, v",accessible,adj,,Rec
account,n,,,report,Rec
acquire,v,acquisition,n,,Prod
addition,n,additional,adj,,Prod
advance,n,,,progress,Rec
advanced,adj,,,modern; high level,Prod
advertising,n,,,,Prod
age,n,aged,adj,period of history,Rec
aggressive,adj,,,,Prod
agriculture,n,agricultural,adj,,Prod
air force,,,,,Rec
alarm,n,,,,Rec
all is well,,,,,Rec
all of a sudden,,,,,Prod
all over the place,,,,,Rec
altogether,adv,,,,Prod
ambassador,n,,,,Rec
ambition,n,ambitious,adj,,Prod
among other things,,,,,Prod
analysis,n,"analyze; analyst","v; n",,Prod
annoy,v,"annoyed; annoying","adj; adj",,Prod
anxious,adj,anxiety,n,,Prod
apparent,adj,apparently,adv,,Prod
appear,v,appearance,n,seem,Prod
approach,"v, n",,,deal with; method,Prod
appropriate,adj,,,,Prod
argue,v,argument,n,"persuade, give reasons",Prod
arrow,n,,,sign,Rec
artistic,adj,,,,Prod
as,conj,,,while; when,Prod
as a matter of fact,,,,,Prod
ashamed,adj,,,,Prod
aside,adv,,,to one side,Rec
assure,v,assurance,n,,Rec
at fault,,,,,Rec
at his/its etc. best,,,,,Rec
at least,,,,,Prod
atmosphere,n,,,,Rec
attraction,n,,,thing to see; feeling,Rec
automatically,adv,,,,Prod
average,adj,on average,,ordinary; usual,Prod
awareness,n,,,,Rec
bad,adj,,,rotting,Rec
bank,n,,,river,Rec
bank account,,,,,Rec
barely,adv,,,,Rec
bargain,n,,,,Rec
barrier,n,,,,Prod
base,n,,,military,Rec
bay,n,,,,Rec
be (just) about to do sth,,,,,Prod
be in charge,,,,,Prod
be out of sth,,,,,Rec
be responsible for sth/doing sth,,,,,Prod
be situated in/on/by etc,,,,,Rec
be expecting (a baby),,,,,Rec
beat,n,,,rhythm,Rec
before,prep,,,in order,Prod
behind,"adv, prep",,,slower,Prod
believe in sth,,,,,Prod
believe it or not,,,,,Rec
bell,n,,,,Rec
bench,n,,,,Prod
bend,"v, n",bent,adj,,Prod
"besides","prep, adv",,,,Prod
biology,n,,,,Rec
bitter,adj,,,,Prod
blame,n,,,,Prod
block,v,,,obstruct,Rec
blow up (sth/sb) or blow (sth/sb) up,,,,,Rec
boiled,adj,boiling,adj,,Rec
bold,adj,,,,Rec
bother,v,,,,Prod
bottom,adj,,,lowest part,Rec
brake,"v, n",,,,Rec
branch,n,,,business,Prod
breast,n,,,,Rec
breeze,n,,,,Rec
brick,n,,,,Rec
brilliant,adj,,,very intelligent,Prod
brilliant,adj,,,full of light and color,Rec
bring up sb or bring sb up,,,,,Prod
bucket,n,,,,Rec
bug,n,,,,Rec
bull,n,,,,Rec
bunch,n,,,,Rec
burst into tears,,,,,Rec
bury,v,,,,Prod
butcher,n,,,,Rec
cab,n,,,,Prod
cabin,n,,,,Rec
calculate,v,calculator,n,,Prod
can,v,,,modal (sometimes happening),Prod
can tell,,,,,Prod
capacity,n,,,volume,Rec
capture,v,,,,Rec
cash,v,,,,Rec
casual,adj,,,,Rec
catalog/catalogue,n,,,,Rec
cave,n,,,,Rec
ceremony,n,,,,Prod
certificate,n,,,,Rec
chairperson,n,,,,Rec
challenge,v,,,express disagreement,Prod
chance,n,,,risk,Prod
change,v,change,n,"exchange in shop; money",Rec
characteristic,n,characterize,v,new experience; climate change,Prod
charge,v,,,energy supply,Rec
chase,"v, n",,,,Prod
cheat,"v, n",,,,Prod
check in/check out,v,,,,Prod
Cheers!,exclam,,,,Rec
claim,v,,,statement,Rec
classic,adj,classical,adj,,Prod
clinic,n,clinical,adj,,Rec
clothing,n,,,,Prod
coach,"n, v",,,person,Rec
cold,adj,,,unfriendly,Rec
collar,n,,,,Rec
collector,n,,,,Rec
come after/first/last etc,,,,,Prod
common,adj,,,shared,Prod
competitive,adj,competitor,n,,Prod
complicated,adj,complicate,v,,Prod
concern,v,"concerned; concerning",adj; prep,concerned with sth,Prod
conditions,n,,,,Prod
conduct,v,,,carry out,Prod
consequence,n,consequently,adv,,Prod
considerable,adj,,,,Rec
contemporary,adj,,,,Rec
contest,n,,,,Prod
continent,n,,,,Prod
cope,v,cope with sth,,,Prod
copy,n,,,"single one (book, paper)",Rec
correspond,v,"correspondent; correspondence","n; n",write,Prod
costume,n,,,,Rec
courage,n,courageous,adj,,Prod
cover,v,coverage,n,news,Rec
crash,"v, n",,,,Rec
criterion,n,,,,Rec
critic,n,"criticize; criticism","v; n",not approve,Prod
cross,n,,,symbol,Rec
cure,"v, n",,,,Prod
current,adj,currently,adv,,Rec
customs,n,,,,Rec
cut down sth or cut sth down,,,,,Rec
cyberbullying,n,,,,Rec
cycle,"n, v",cyclist,,bicycle,Rec
date,n,,,going out,Prod
deaf,adj,,,,Prod
debt,n,,,,Prod
decade,n,,,,Rec
deck,n,,,floor on ship,Rec
declare,v,declaration,n,,Rec
decorate,v,decoration,n,,Prod
decrease,"v, n",,,,Prod
dedicate,v,,,in memory,Rec
defeat,"v, n",,,,Prod
degree,n,,,qualification,Rec
delayed,adj,,,,Rec
deliberately,adv,deliberate,adj,,Rec
deliver,"v, n",,,,Rec
demanding,adj,,,,Rec
demonstrate,v,demonstration,n,march,Prod
departure,n,depart,v,,Prod
deposit,n,,,,Rec
deserve,v,,,,Prod
design,n,designer,n,decoration,Prod
destination,n,,,,Prod
destruction,n,,,,Prod
detect,v,,,,Rec
determine,v,,,,Rec
development,n,"developing; developed","adj; adj","event, process",Prod
devil,n,,,,Rec
diagram,n,,,,Rec
differ,v,,,disagree,Rec
differ,v,,,vary widely,Rec
difficult,adj,,,not friendly,Rec
direct,v,direction,n,play/film,Rec
"disabled","adj, n",,,,Rec
disagreement,n,,,,Prod
disappointed,adj,disappointment,n,,Prod
disaster,n,,,,Prod
discovery,n,,,,Prod
dishonest,adj,,,,Prod
disk,n,,,,Rec
dislike,"n, v",,,,Prod
dispute,n,,,,Rec
distinguish,v,,,,Prod
disturb,v,,,,Prod
divide,v,division,n,calculate,Rec
divorce,n,divorced,adj,,Rec
do,aux v,,,for emphasis,Prod
do a good/excellent etc. job,,,,,Prod
domestic,n,,,country,Rec
done,adj,,,,Prod
Don't ask me!,,,,,Prod
Don't ask!,,,,,Prod
double,"v, adv",,,,Prod
doubt,v,,,,Prod
dozen,n,,,,Rec
draft,n,,,,Prod
dramatic,adj,,,,Prod
dreadful,adj,,,,Prod
drink,v,,,alcohol,Rec
drive,n,,,computer,Rec
drop,"v, n",,,move lower,Rec
drop,n,,,liquid,Rec
drunk,adj,,,,Prod
earth,n,,,soil,Prod
earthquake,n,,,,Prod
economical,adj,,,,Rec
editor,n,,,,Prod
educate,v,"educated; educator","adj; n",,Prod
efficient,adj,"efficiency; efficiently","n; adj",,Prod
either way,,,,,Rec
elbow,n,,,,Rec
elderly,adj,,,,Prod
element,n,,,,Rec
emerge,v,,,,Rec
emotion,n,emotional,adj,,Prod
emphasis,n,emphasize,v,,Prod
engagement,n,engaged,adj,,Rec
enjoyable,adj,enjoyment,n,,Prod
enter,v,,,information,Rec
episode,n,,,,Rec
equal,v,equality,n,,Prod
escape,n,,,,Prod
essay,n,,,,Prod
essentially,adv,,,,Rec
even if,,,,,Prod
even though,,,,,Prod
event,n,,,,Rec
exactly,adv,,,emphasis; agreement,Prod
except that,,,,,Prod
exception,n,,,,Prod
exchange,v,,,,Rec
exist,v,"existence; existing","n; adj",,Prod
expected,adj,,,,Rec
expedition,n,,,,Rec
expense,n,at the expense of,,,Rec
explode,v,explosion,n,,Prod
export,"n, v",,,,Rec
expression,n,,,word or phrase,Rec
extend,v,,,make last,Rec
extraordinary,adj,,,,Prod
extreme,adj,,,,Prod
fall in love,,,,,Prod
fare,n,,,,Rec
farther/further,"adj, adv",,,,Prod
fasten,v,,,,Rec
feature,n,,,important part of something,Rec
fed up,,,,,Rec
feedback,n,,,,Rec
fetch,v,,,,Rec
figure,n,figure out sth,"body shape; figure out a problem",Rec
final,n,semi-final,n,,Rec
financial,adj,finance,"n, v",,Rec
finding/findings,n,,,,Rec
fire,v,,,dismiss; sack,Rec
firm,adj,firmly,adv,"hard, solid",Rec
fit,adj,fitness,n,healthy,Prod
flexible,adj,flexibility,n,,Prod
float,v,,,,Rec
flood,"v, n",,,,Prod
flu,n,,,,Rec
fly,n,,,insect,Rec
focus on/upon sb/sth,,,,,Prod
focus,n,,,,Prod
fold,v,,,,Prod
folk,"n, adj",,,,Rec
follow,v,,,understand,Prod
fool,n,foolish,adj,,Prod
for the sake of sth/sb; for sth's/sb's sake,,,,,Rec
for fun or for the fun of it,,,,,Prod
force,n,,,group of people,Rec
forehead,n,,,,Rec
forgetful,adj,,,,Rec
formal,adj,,,,Prod
former,adj,formerly,adv,,Prod
fortune,n,,,money,Prod
free,"adj, adv",,,not limited,Prod
free will,,,,,Rec
frequent,adj,frequency,n,,Prod
fresh,adj,,,recent,Rec
frighten,v,,,,Prod
from,prep,,,position; starting point,Rec
frozen,adj,,,,Prod
gain,"v, n",,,increase,Prod
garage,n,,,business,Rec
gate,n,,,airport,Rec
generate,v,,,create,Rec
generation,n,,,answer,Prod
